   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63779,             0.34698,             0.33555,             0.18696,            0.042972,            0.008002,            0.009946,             0.00866,              0.0106,              0.9138,             0.00048,              2.1176,             0.93914,             0.10256,             0.04935,             0.43729,              0.8841,              1.1322,              1.0993,                 0.2,              2.9592,                   0,             0.01614,              0.7208,             0.44333,                   0,              0.0799,             0.48218,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0945
              0.6694,             0.33535,             0.35258,             0.19787,            0.042994,            0.008274,           0.0095723,             0.00701,             0.01157,             0.93301,             0.00051,              1.9764,             0.88143,             0.09261,             0.04975,             0.40883,              0.8841,              1.3329,              1.0589,                 0.2,              2.8401,                   0,             0.01752,             0.73334,             0.42638,                   0,             0.08569,             0.45013,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.8021
              0.6804,             0.31723,             0.32938,             0.19154,            0.033988,           0.0082292,            0.011272,             0.00668,             0.01176,             0.89648,             0.00051,              1.7133,             0.88143,             0.09234,             0.04066,             0.41913,                1.09,              1.1407,              1.0589,                 0.2,              2.8913,                   0,             0.01752,             0.80225,             0.50759,                   0,             0.09247,             0.45013,                   0,                   0,                   0,                 0.5,             0.88933,                   0,                   0,              5.5841
             0.69197,             0.33718,             0.33783,             0.18507,            0.041973,           0.0076671,           0.0095825,             0.00701,             0.01167,             0.93301,             0.00057,              2.1812,                0.95,             0.08412,             0.04975,             0.37268,              1.0812,              1.2146,              1.2023,                 0.2,               2.558,                   0,             0.01895,             0.61366,             0.42638,                   0,             0.09316,             0.41013,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.3518
             0.69617,             0.34168,             0.35923,             0.20507,            0.039085,            0.010491,            0.010226,             0.00735,             0.01065,             0.93086,             0.00051,              1.7198,             0.88143,             0.09667,             0.04505,             0.44703,              0.8841,              1.5353,              1.0323,                 0.2,              3.1381,                   0,             0.01752,             0.73334,              0.4387,                   0,             0.07958,             0.32507,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              5.0274
             0.67218,             0.32847,             0.34103,              0.1905,            0.039944,           0.0082118,            0.012499,             0.01216,                0.01,             0.88951,             0.00043,              2.7003,             0.80827,             0.09147,             0.04315,             0.52332,             0.90975,             0.78896,              1.0247,                 0.2,              3.9785,                   0,             0.01766,             0.58321,             0.36255,                   0,             0.11183,             0.44225,                   0,                   0,                   0,                 0.5,             0.89598,                   0,                   0,              3.1567
             0.67712,             0.34436,             0.34923,             0.19104,            0.040475,           0.0083831,            0.012638,             0.01099,                0.01,             0.84625,             0.00039,              2.1237,             0.56999,             0.09147,             0.04334,             0.52733,             0.97058,             0.74835,             0.96343,                 0.2,               4.651,                   0,             0.01515,             0.54359,             0.43539,                   0,             0.10879,             0.46811,                   0,                   0,                   0,                 0.5,             0.96252,                   0,                   0,              3.0729
             0.66844,             0.34298,             0.35063,             0.20059,            0.041524,            0.008922,             0.01174,             0.01216,                0.01,             0.86312,             0.00043,              2.4652,             0.82231,             0.09147,               0.046,             0.49582,              1.0047,             0.78875,             0.97902,                 0.2,               4.729,                   0,             0.01727,             0.56549,             0.41986,                   0,             0.09686,             0.45509,                   0,                   0,                   0,                 0.5,             0.91444,                   0,                   0,              3.3129
             0.67395,             0.32968,             0.34228,              0.1914,            0.041416,            0.008771,            0.012525,             0.01201,                0.01,             0.86312,             0.00044,              2.5021,             0.83659,             0.09083,             0.04437,             0.49582,              1.0354,             0.76165,              1.0094,                 0.2,              4.7065,                   0,             0.01708,             0.56592,             0.41763,                   0,             0.09624,             0.46125,                   0,                   0,                   0,                 0.5,             0.91695,                   0,                   0,              3.3129
             0.65631,             0.35024,              0.3459,             0.19553,            0.041685,           0.0088936,            0.011882,             0.01216,                0.01,             0.86315,             0.00043,              2.4652,              0.8241,             0.09116,             0.04575,             0.49641,              1.0053,             0.78875,             0.97902,                 0.2,              4.7246,                   0,             0.01728,             0.56539,             0.42204,                   0,             0.09659,             0.45724,                   0,                   0,                   0,                 0.5,             0.91223,                   0,                   0,              3.3326
             0.67774,             0.31381,             0.33042,             0.18393,            0.039202,           0.0079857,            0.011444,             0.01221,             0.01073,             0.88442,             0.00043,              2.4652,             0.79286,             0.09209,             0.04309,             0.51333,             0.86005,             0.78875,              0.8726,                 0.2,              4.6339,                   0,              0.0167,              0.6337,              0.4176,                   0,             0.09546,             0.45509,                   0,                   0,                   0,                 0.5,             0.97087,                   0,                   0,              3.3129
             0.71768,              0.3102,             0.34676,             0.19468,            0.042524,           0.0082281,            0.011988,             0.01216,             0.01006,             0.86436,             0.00042,              2.4606,             0.76753,             0.09113,             0.04712,             0.50912,              1.0168,             0.77465,              0.9956,                 0.2,              4.3905,                   0,             0.01727,             0.56183,              0.4231,                   0,             0.09571,             0.44813,                   0,                   0,                   0,                 0.5,             0.96406,                   0,                   0,              3.5761
             0.67025,             0.34059,             0.35134,             0.19387,            0.040075,            0.010237,            0.011932,             0.01216,                0.01,             0.88594,              0.0005,              2.4006,             0.82999,             0.08861,             0.04341,             0.49689,              1.0263,             0.80067,               1.085,                 0.2,              4.9888,                   0,             0.01727,             0.54704,             0.44279,                   0,             0.11749,             0.46764,                   0,                   0,                   0,                 0.5,             0.91444,                   0,                   0,              2.8872
             0.68049,             0.34057,             0.34183,             0.19174,            0.044408,           0.0091994,            0.012935,             0.01216,                0.01,             0.86312,             0.00042,              2.6461,              0.8113,             0.08957,             0.04779,             0.49582,              1.0263,             0.78875,              1.0006,                 0.2,              4.6375,                   0,             0.01752,              0.5726,              0.4424,                   0,             0.09598,              0.4636,                   0,                   0,                   0,                 0.5,             0.88203,                   0,                   0,              3.1348
             0.69768,             0.33395,             0.35698,             0.19801,            0.039642,            0.010437,            0.012088,             0.01205,                0.01,             0.85801,             0.00041,              2.5373,             0.85679,             0.08802,             0.04292,             0.51127,              1.0047,             0.80144,              1.2131,                 0.2,              4.6494,                   0,             0.01649,             0.46825,             0.41986,                   0,             0.10453,             0.47167,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3129
